"107年12月 3406 玉晶光           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/12/03","11,810,272","2,771,714,280","230.00","240.00","228.50","239.50","+21.00","8,531",
"107/12/04","8,903,207","2,062,452,333","239.50","239.50","224.00","225.00","-14.50","6,805",
"107/12/05","6,647,390","1,448,597,300","216.50","221.00","215.00","218.00","-7.00","4,884",
"107/12/06","8,337,955","1,707,228,455","213.00","215.00","197.00","200.00","-18.00","6,559",
"107/12/07","5,834,455","1,193,774,730","204.50","208.00","200.00","204.00","+4.00","4,556",
"107/12/10","7,069,825","1,370,178,760","198.00","199.50","188.00","196.00","-8.00","5,533",
"107/12/11","4,081,135","813,089,865","197.00","201.00","197.00","198.50","+2.50","3,140",
"107/12/12","4,183,691","857,932,464","203.00","208.00","202.00","205.00","+6.50","3,287",
"107/12/13","3,978,883","811,396,249","207.50","208.50","200.00","202.50","-2.50","3,288",
"107/12/14","3,601,500","714,933,000","200.00","202.50","195.50","202.50"," 0.00","2,833",
"107/12/17","3,346,866","678,854,030","198.00","205.50","197.50","205.00","+2.50","2,649",
"107/12/18","3,848,458","784,639,932","201.00","208.00","198.50","204.00","-1.00","3,057",
"107/12/19","6,456,668","1,348,191,276","206.00","212.00","205.50","206.50","+2.50","4,971",
"107/12/20","4,957,534","1,014,642,166","203.00","209.00","200.00","203.50","-3.00","3,754",
"107/12/21","12,452,707","2,448,835,814","200.00","203.50","190.00","201.50","-2.00","9,094",
"107/12/22","2,735,500","536,555,500","197.50","198.50","194.00","195.00","-6.50","2,279",
"107/12/24","2,698,420","526,422,450","196.00","198.00","192.50","195.50","+0.50","2,118",
"107/12/25","7,885,501","1,478,867,195","189.00","193.00","183.00","193.00","-2.50","6,249",
"107/12/26","4,116,084","783,571,876","193.50","196.50","184.00","184.00","-9.00","3,282",
"107/12/27","3,939,524","747,035,060","192.50","192.50","187.00","189.00","+5.00","3,015",
"107/12/28","3,109,330","582,943,370","190.50","191.50","184.50","185.00","-4.00","2,397",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

