"9901る 2317 翬             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
" 99/01/04","23,703,729","3,595,337,079","152.00","152.50","150.50","151.50"," 0.00","8,837",
" 99/01/05","34,765,658","5,324,004,837","153.50","155.50","151.50","152.50","+1.00","11,664",
" 99/01/06","28,645,356","4,355,698,806","152.50","153.00","151.50","151.50","-1.00","10,627",
" 99/01/07","28,165,060","4,235,768,847","151.50","152.50","148.50","150.00","-1.50","13,210",
" 99/01/08","23,525,808","3,509,206,200","150.00","151.00","147.00","150.50","+0.50","9,262",
" 99/01/11","24,077,820","3,577,830,660","148.00","150.00","148.00","148.50","-2.00","9,913",
" 99/01/12","34,028,302","5,040,237,196","148.50","149.50","147.50","148.00","-0.50","13,669",
" 99/01/13","32,014,362","4,668,400,352","146.00","147.00","145.00","145.50","-2.50","16,473",
" 99/01/14","23,761,647","3,527,777,753","146.00","150.00","146.00","149.50","+4.00","10,953",
" 99/01/15","28,782,527","4,363,209,194","151.50","153.00","150.00","152.50","+3.00","12,683",
" 99/01/18","15,578,080","2,353,963,425","151.00","152.00","150.00","151.00","-1.50","6,998",
" 99/01/19","18,169,884","2,716,239,216","151.50","152.00","148.00","149.00","-2.00","8,481",
" 99/01/20","27,558,993","4,074,245,536","150.00","150.00","147.00","147.50","-1.50","10,886",
" 99/01/21","27,348,926","3,986,065,196","145.50","147.00","145.00","146.00","-1.50","12,679",
" 99/01/22","74,138,933","10,351,898,053","141.00","142.00","137.00","138.00","-8.00","37,182",
" 99/01/25","34,306,257","4,736,590,480","136.00","140.00","135.50","139.50","+1.50","16,333",
" 99/01/26","38,759,693","5,348,058,602","141.00","141.00","135.50","136.50","-3.00","17,226",
" 99/01/27","37,632,431","5,079,487,685","137.00","137.50","133.00","133.00","-3.50","19,074",
" 99/01/28","32,485,864","4,442,201,237","136.00","139.00","134.00","136.00","+3.00","12,882",
" 99/01/29","37,759,936","5,026,332,101","133.50","134.50","131.50","134.50","-1.50","16,269",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

