"105年06月 1723 中碳             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/06/01","216,232","23,690,252","110.50","110.50","109.00","110.00"," 0.00","217",
"105/06/02","198,685","21,786,350","110.00","110.50","109.00","109.00","-1.00","193",
"105/06/03","411,844","44,302,152","107.50","108.50","107.00","107.50","-1.50","370",
"105/06/04","98,400","10,663,100","107.50","109.00","107.50","109.00","+1.50","106",
"105/06/06","153,477","16,637,993","110.00","110.00","107.50","108.50","-0.50","144",
"105/06/07","153,476","16,657,884","108.00","109.50","108.00","108.50"," 0.00","159",
"105/06/08","137,706","14,949,954","108.50","109.00","108.00","108.00","-0.50","142",
"105/06/13","329,829","35,062,703","107.50","108.00","105.50","105.50","-2.50","324",
"105/06/14","240,995","25,509,466","105.50","106.50","105.50","105.50"," 0.00","219",
"105/06/15","224,579","23,678,874","106.00","106.00","105.00","105.00","-0.50","222",
"105/06/16","380,120","39,761,220","105.00","106.00","104.00","104.50","-0.50","315",
"105/06/17","323,094","33,806,964","104.50","105.50","104.00","105.00","+0.50","244",
"105/06/20","231,113","24,498,529","105.00","107.00","105.00","106.00","+1.00","236",
"105/06/21","448,235","47,960,880","106.00","108.00","105.50","106.50","+0.50","350",
"105/06/22","120,108","12,759,496","106.50","107.00","106.00","106.00","-0.50","147",
"105/06/23","271,601","28,597,706","105.00","106.00","105.00","105.00","-1.00","275",
"105/06/24","494,253","51,814,818","105.00","106.00","104.00","105.00"," 0.00","405",
"105/06/27","199,585","20,953,925","105.00","106.00","104.00","104.50","-0.50","195",
"105/06/28","297,089","31,119,434","104.00","106.00","103.50","104.50"," 0.00","229",
"105/06/29","245,639","25,944,548","105.00","106.00","105.00","106.00","+1.50","243",
"105/06/30","446,114","47,725,753","106.00","107.50","106.00","107.00","+1.00","364",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

