"106年08月 2451 創見             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"106/08/01","588,569","52,837,794","89.70","90.00","89.50","89.80","+0.30","511",
"106/08/02","358,625","32,483,008","91.10","91.10","90.30","90.70","+0.90","321",
"106/08/03","336,100","30,231,129","90.50","90.50","89.50","89.80","-0.90","273",
"106/08/04","706,793","63,622,542","90.00","90.50","89.80","90.50","+0.70","614",
"106/08/07","590,794","53,229,855","90.90","90.90","89.80","90.30","-0.20","458",
"106/08/08","247,624","22,289,120","90.10","90.60","89.90","90.00","-0.30","218",
"106/08/09","491,484","43,977,581","90.00","90.00","89.00","89.10","-0.90","382",
"106/08/10","378,961","33,653,808","89.10","89.40","88.30","88.90","-0.20","291",
"106/08/11","449,329","40,002,681","88.90","89.60","88.70","88.70","-0.20","379",
"106/08/14","418,230","37,311,416","89.90","89.90","88.70","88.70"," 0.00","315",
"106/08/15","456,523","40,821,106","89.50","89.80","88.90","89.50","+0.80","439",
"106/08/16","433,973","38,913,082","89.50","90.10","89.10","89.50"," 0.00","385",
"106/08/17","157,700","14,155,507","89.50","89.90","89.50","89.80","+0.30","127",
"106/08/18","320,110","28,635,789","89.80","89.80","89.10","89.30","-0.50","282",
"106/08/21","313,550","28,128,290","89.00","90.20","89.00","89.60","+0.30","262",
"106/08/22","394,002","35,374,180","90.00","90.10","89.60","89.70","+0.10","373",
"106/08/23","314,317","28,220,524","90.20","90.30","89.50","89.50","-0.20","276",
"106/08/24","473,637","42,461,230","89.50","90.00","89.30","89.80","+0.30","425",
"106/08/25","377,827","33,992,589","90.10","90.20","89.60","90.00","+0.20","342",
"106/08/28","439,506","39,569,938","90.50","90.50","89.80","90.00"," 0.00","415",
"106/08/29","211,908","19,006,620","90.00","90.00","89.50","89.80","-0.20","208",
"106/08/30","584,500","52,530,300","90.20","91.00","89.50","89.60","-0.20","502",
"106/08/31","560,248","50,397,243","89.80","90.40","89.70","90.00","+0.40","323",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

