"105年10月 2886 兆豐金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/10/03","14,715,951","323,810,565","22.10","22.10","21.95","21.95","-0.10","3,667",
"105/10/04","23,926,083","523,045,481","21.90","22.00","21.80","21.85","-0.10","6,986",
"105/10/05","21,281,818","464,074,078","21.70","22.00","21.65","21.85"," 0.00","4,705",
"105/10/06","17,043,695","373,683,762","21.80","22.05","21.75","21.95","+0.10","3,888",
"105/10/07","15,036,194","328,668,838","21.80","21.95","21.80","21.85","-0.10","3,660",
"105/10/11","26,458,652","576,539,780","21.80","21.90","21.70","21.80","-0.05","5,494",
"105/10/12","14,873,989","324,502,235","21.80","21.95","21.60","21.85","+0.05","3,396",
"105/10/13","18,884,163","409,452,496","21.90","21.90","21.60","21.65","-0.20","6,268",
"105/10/14","8,645,046","187,456,906","21.65","21.75","21.60","21.65"," 0.00","1,832",
"105/10/17","16,422,791","354,878,147","21.65","21.70","21.50","21.60","-0.05","2,906",
"105/10/18","10,897,894","236,804,914","21.60","21.80","21.60","21.80","+0.20","2,776",
"105/10/19","11,258,518","245,979,476","21.70","21.90","21.70","21.85","+0.05","3,860",
"105/10/20","6,986,492","152,933,039","21.85","21.95","21.75","21.85"," 0.00","2,111",
"105/10/21","10,415,139","228,567,906","21.85","22.00","21.80","22.00","+0.15","2,298",
"105/10/24","11,838,605","258,790,613","22.00","22.00","21.80","21.80","-0.20","2,876",
"105/10/25","15,322,030","335,597,112","21.80","22.00","21.75","22.00","+0.20","2,940",
"105/10/26","5,693,150","124,585,958","21.95","21.95","21.85","21.85","-0.15","1,318",
"105/10/27","15,512,426","337,206,313","21.85","21.85","21.70","21.70","-0.15","3,442",
"105/10/28","15,577,629","337,730,128","21.70","21.75","21.60","21.65","-0.05","3,452",
"105/10/31","16,503,516","355,871,113","21.55","21.65","21.45","21.60","-0.05","4,006",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

