"10305る 2325 珇             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"103/05/02","18,249,480","823,507,238","45.00","45.85","44.45","45.00","+0.75","5,886",
"103/05/05","11,327,617","499,131,529","45.50","45.60","43.70","43.80","-1.20","4,372",
"103/05/06","9,678,522","430,690,578","44.80","44.90","44.30","44.50","+0.70","4,020",
"103/05/07","9,984,887","438,702,741","44.45","44.50","43.70","44.00","-0.50","3,371",
"103/05/08","7,318,002","324,920,117","44.15","44.60","44.15","44.55","+0.55","2,988",
"103/05/09","8,845,913","397,210,008","44.90","45.25","44.50","44.75","+0.20","3,359",
"103/05/12","9,250,645","403,895,582","44.75","44.80","43.30","43.40","-1.35","3,251",
"103/05/13","7,995,672","348,084,682","43.85","44.15","43.30","43.30","-0.10","3,639",
"103/05/14","7,908,263","346,633,432","43.80","44.15","43.70","43.85","+0.55","2,958",
"103/05/15","6,849,917","302,065,738","44.05","44.35","43.90","44.25","+0.40","2,539",
"103/05/16","9,979,387","433,519,201","44.25","44.25","43.25","43.45","-0.80","3,768",
"103/05/19","14,814,545","650,930,338","43.65","44.20","43.65","44.00","+0.55","3,554",
"103/05/20","12,894,391","574,190,165","44.00","45.10","44.00","45.10","+1.10","3,343",
"103/05/21","7,203,868","320,692,756","45.10","45.20","44.15","44.30","-0.80","2,940",
"103/05/22","12,474,119","569,773,779","44.80","46.20","44.55","46.00","+1.70","4,586",
"103/05/23","6,814,572","313,332,620","46.00","46.55","45.55","46.00"," 0.00","2,815",
"103/05/26","6,645,967","303,117,241","46.00","46.00","45.40","45.65","-0.35","2,562",
"103/05/27","8,523,870","395,665,426","46.00","46.80","45.65","46.80","+1.15","3,063",
"103/05/28","9,976,872","468,992,735","47.10","47.20","46.75","47.20","+0.40","4,015",
"103/05/29","11,190,322","535,332,947","47.20","48.30","47.05","47.95","+0.75","4,561",
"103/05/30","17,143,907","822,331,521","48.00","48.30","47.35","48.00","+0.05","4,428",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

