"10412る 1326 て             らΘユ戈癟"
"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"104/12/01","4,034,100","287,648,246","71.50","71.90","70.40","71.90","+1.30","2,429",
"104/12/02","2,799,625","199,343,680","71.60","72.00","70.70","71.00","-0.90","1,405",
"104/12/03","2,590,944","183,947,524","70.30","71.50","70.10","71.00"," 0.00","1,405",
"104/12/04","3,776,621","264,524,810","70.30","70.50","69.60","70.40","-0.60","2,335",
"104/12/07","2,962,616","209,293,320","71.00","72.00","69.90","70.00","-0.40","1,884",
"104/12/08","4,878,715","335,381,470","70.00","70.40","68.20","68.50","-1.50","2,893",
"104/12/09","3,804,332","259,352,734","68.00","69.20","68.00","68.10","-0.40","1,890",
"104/12/10","6,338,361","427,962,363","67.60","68.70","67.00","67.50","-0.60","2,980",
"104/12/11","5,996,555","403,706,940","67.40","67.80","67.00","67.70","+0.20","2,284",
"104/12/14","3,518,034","235,052,564","67.50","67.50","66.30","66.90","-0.80","1,577",
"104/12/15","3,826,684","258,651,994","67.10","68.30","67.00","67.40","+0.50","2,201",
"104/12/16","3,276,433","224,536,523","67.60","69.10","67.60","68.50","+1.10","1,737",
"104/12/17","2,627,678","180,490,641","68.70","69.30","68.20","69.30","+0.80","1,111",
"104/12/18","4,621,778","316,140,048","68.80","69.10","68.00","68.50","-0.80","1,321",
"104/12/21","4,503,397","304,345,006","67.30","68.00","67.30","68.00","-0.50","1,585",
"104/12/22","2,733,680","188,996,111","68.40","69.50","68.40","69.50","+1.50","1,690",
"104/12/23","2,030,240","141,412,775","69.80","69.90","69.10","69.80","+0.30","799",
"104/12/24","2,240,633","157,027,712","70.20","70.40","69.80","70.00","+0.20","1,149",
"104/12/25","1,371,124","96,243,046","70.30","70.40","69.90","70.00"," 0.00","671",
"104/12/28","2,541,708","178,883,360","70.60","70.60","70.10","70.30","+0.30","1,138",
"104/12/29","1,264,367","88,186,269","70.00","70.10","69.50","69.70","-0.60","750",
"104/12/30","3,702,278","258,879,577","69.80","70.50","69.00","70.50","+0.80","1,185",
"104/12/31","8,191,005","585,047,749","69.40","74.00","68.40","74.00","+3.50","2,564",
"弧:"
"才腹弧:+/-/Xボ害/禴/ぃゑ基"
"讽ら参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦"

