"104年11月 2886 兆豐金           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"104/11/02","23,256,483","535,354,028","22.85","23.10","22.85","23.00","X0.00","5,409",
"104/11/03","26,150,954","607,913,356","23.05","23.45","23.00","23.25","+0.25","6,055",
"104/11/04","41,679,070","967,039,595","23.25","23.45","23.10","23.30","+0.05","9,343",
"104/11/05","15,440,631","358,543,845","23.20","23.35","23.10","23.35","+0.05","4,394",
"104/11/06","23,565,560","540,974,173","23.25","23.30","22.80","22.85","-0.50","6,732",
"104/11/09","14,574,720","334,991,810","22.85","23.10","22.85","23.05","+0.20","3,773",
"104/11/10","20,339,238","461,629,623","22.85","22.85","22.60","22.65","-0.40","6,314",
"104/11/11","15,978,072","360,522,882","22.65","22.65","22.50","22.60","-0.05","4,965",
"104/11/12","10,159,143","228,757,242","22.50","22.60","22.45","22.55","-0.05","3,491",
"104/11/13","20,705,898","464,165,861","22.50","22.55","22.30","22.30","-0.25","4,865",
"104/11/16","14,093,236","314,259,789","22.30","22.50","22.15","22.45","+0.15","4,108",
"104/11/17","19,267,692","438,137,730","22.60","22.85","22.55","22.65","+0.20","5,810",
"104/11/18","20,513,510","459,668,248","22.60","22.60","22.25","22.30","-0.35","6,890",
"104/11/19","15,960,100","358,516,430","22.35","22.70","22.25","22.70","+0.40","5,663",
"104/11/20","9,794,396","221,724,217","22.55","22.70","22.50","22.70"," 0.00","3,095",
"104/11/23","7,959,437","179,784,564","22.70","22.75","22.50","22.50","-0.20","3,310",
"104/11/24","9,280,718","209,904,347","22.45","22.80","22.45","22.60","+0.10","3,149",
"104/11/25","11,324,655","254,394,264","22.55","22.60","22.35","22.45","-0.15","4,356",
"104/11/26","11,070,105","251,193,477","22.65","22.75","22.55","22.55","+0.10","3,758",
"104/11/27","13,069,530","294,746,761","22.70","22.70","22.40","22.40","-0.15","3,188",
"104/11/30","46,285,935","1,034,723,014","22.30","22.50","22.10","22.50","+0.10","7,647",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

