"105年05月 1723 中碳             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"105/05/03","259,788","27,947,104","108.00","109.00","107.00","107.50","-0.50","252",
"105/05/04","493,815","52,515,796","107.50","108.50","105.50","105.50","-2.00","377",
"105/05/05","254,163","26,929,941","105.50","107.50","105.00","106.50","+1.00","239",
"105/05/06","147,001","15,679,603","107.00","108.00","106.00","106.50"," 0.00","150",
"105/05/09","285,724","30,136,604","106.00","106.00","105.00","105.00","-1.50","261",
"105/05/10","427,057","43,976,928","104.50","104.50","102.00","103.50","-1.50","395",
"105/05/11","283,883","29,787,215","104.00","105.50","104.00","104.50","+1.00","263",
"105/05/12","375,474","39,437,770","105.00","105.50","104.50","105.00","+0.50","339",
"105/05/13","389,687","41,460,509","105.00","107.50","104.50","107.00","+2.00","361",
"105/05/16","241,635","25,661,122","107.00","107.00","105.50","106.00","-1.00","202",
"105/05/17","219,254","23,170,301","106.00","107.50","104.50","106.50","+0.50","195",
"105/05/18","146,119","15,623,289","106.00","107.50","105.50","107.00","+0.50","160",
"105/05/19","234,823","24,831,647","106.50","107.00","105.00","106.00","-1.00","209",
"105/05/20","141,364","14,934,896","106.50","107.00","105.00","105.00","-1.00","139",
"105/05/23","365,610","38,478,550","105.50","106.50","104.00","105.00"," 0.00","372",
"105/05/24","107,201","11,289,806","105.00","105.50","105.00","105.50","+0.50","118",
"105/05/25","169,951","18,020,806","106.00","106.50","105.50","106.00","+0.50","174",
"105/05/26","165,858","17,699,732","106.00","107.00","106.00","107.00","+1.00","150",
"105/05/27","380,145","41,640,450","107.50","111.50","107.00","110.00","+3.00","359",
"105/05/30","202,811","22,409,920","110.50","111.00","110.00","110.50","+0.50","188",
"105/05/31","269,179","29,551,190","110.50","111.00","109.00","110.00","-0.50","211",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"

